,rankingPosition,name,webUrl,rating
49,11,St Christopher's Gare du Nord Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d4020056-Reviews-St_Christopher_s_Gare_du_Nord_Paris-Paris_Ile_de_France.html,4.0
50,710,Citadines Tour Eiffel Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d197659-Reviews-Citadines_Tour_Eiffel_Paris-Paris_Ile_de_France.html,4.0
51,40,Hotel Gustave,https://www.tripadvisor.com/Hotel_Review-g187147-d289315-Reviews-Hotel_Gustave-Paris_Ile_de_France.html,4.5
52,66,Hotel Astoria - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d230431-Reviews-Hotel_Astoria_Astotel-Paris_Ile_de_France.html,4.5
53,14,Hotel Signature Saint Germain des Pres,https://www.tripadvisor.com/Hotel_Review-g187147-d220000-Reviews-Hotel_Signature_Saint_Germain_des_Pres-Paris_Ile_de_France.html,5.0
54,704,citizenM Paris Gare de Lyon Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d12455412-Reviews-CitizenM_Paris_Gare_de_Lyon_Hotel-Paris_Ile_de_France.html,4.5
55,316,Best Western Plus La Demeure,https://www.tripadvisor.com/Hotel_Review-g187147-d276923-Reviews-Best_Western_Plus_La_Demeure-Paris_Ile_de_France.html,4.5
56,177,Hotel Le Cercle - Tour Eiffel,https://www.tripadvisor.com/Hotel_Review-g187147-d570301-Reviews-Hotel_Le_Cercle_Tour_Eiffel-Paris_Ile_de_France.html,4.5
57,2,Hotel Malte Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228694-Reviews-Hotel_Malte_Astotel-Paris_Ile_de_France.html,5.0
58,144,Hotel Leopold,https://www.tripadvisor.com/Hotel_Review-g187147-d660743-Reviews-Hotel_Leopold-Paris_Ile_de_France.html,4.5
59,416,Campanile Prime Paris 19 - La Villette,https://www.tripadvisor.com/Hotel_Review-g187147-d233767-Reviews-Campanile_Prime_Paris_19_La_Villette-Paris_Ile_de_France.html,4.0
60,881,Pullman Paris Eiffel Tower,https://www.tripadvisor.com/Hotel_Review-g187147-d197985-Reviews-Pullman_Paris_Eiffel_Tower-Paris_Ile_de_France.html,4.0
61,5,Hotel Astra Opera - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d229968-Reviews-Hotel_Astra_Opera_Astotel-Paris_Ile_de_France.html,5.0
62,595,La Maison Montparnasse,https://www.tripadvisor.com/Hotel_Review-g187147-d1556692-Reviews-La_Maison_Montparnasse-Paris_Ile_de_France.html,4.5
63,799,Ibis Styles Paris Meteor Avenue D'Italie,https://www.tripadvisor.com/Hotel_Review-g187147-d16711418-Reviews-Ibis_Styles_Paris_Meteor_Avenue_D_Italie-Paris_Ile_de_France.html,4.0
64,54,Cler Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d266280-Reviews-Cler_Hotel-Paris_Ile_de_France.html,5.0
65,44,Victoria Palace Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d229528-Reviews-Victoria_Palace_Hotel-Paris_Ile_de_France.html,5.0
66,12,St Christopher's Inn Canal Paris,https://www.tripadvisor.com/Hotel_Review-g187147-d1072845-Reviews-St_Christopher_s_Inn_Canal_Paris-Paris_Ile_de_France.html,4.0
67,17,Hotel Maison Mere,https://www.tripadvisor.com/Hotel_Review-g187147-d228757-Reviews-Hotel_Maison_Mere-Paris_Ile_de_France.html,5.0
68,105,Hotel Lorette - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d228848-Reviews-Hotel_Lorette_Astotel-Paris_Ile_de_France.html,4.5
69,22,Secret de Paris - Hotel & Spa,https://www.tripadvisor.com/Hotel_Review-g187147-d1633522-Reviews-Secret_de_Paris_Hotel_Spa-Paris_Ile_de_France.html,5.0
70,45,Hotel Saint-Andre des Arts,https://www.tripadvisor.com/Hotel_Review-g187147-d239623-Reviews-Hotel_Saint_Andre_des_Arts-Paris_Ile_de_France.html,5.0
71,19,Hotel Regent's Garden - Astotel,https://www.tripadvisor.com/Hotel_Review-g187147-d198109-Reviews-Hotel_Regent_s_Garden_Astotel-Paris_Ile_de_France.html,4.5
72,914,Hotel Campanile Paris Bercy Village,https://www.tripadvisor.com/Hotel_Review-g187147-d233766-Reviews-Hotel_Campanile_Paris_Bercy_Village-Paris_Ile_de_France.html,4.0
73,42,Hotel Bel Ami,https://www.tripadvisor.com/Hotel_Review-g187147-d233593-Reviews-Hotel_Bel_Ami-Paris_Ile_de_France.html,4.5
74,6,Hotel des Arts - Montmartre,https://www.tripadvisor.com/Hotel_Review-g187147-d506900-Reviews-Hotel_des_Arts_Montmartre-Paris_Ile_de_France.html,4.5
75,36,B Montmartre Hotel,https://www.tripadvisor.com/Hotel_Review-g187147-d280083-Reviews-B_Montmartre_Hotel-Paris_Ile_de_France.html,5.0
