,rankingPosition,name,webUrl,rating
61,468,L'Express de Lyon,https://www.tripadvisor.com/Restaurant_Review-g187147-d798001-Reviews-L_Express_de_Lyon-Paris_Ile_de_France.html,4.5
62,243,46 & 3rd,https://www.tripadvisor.com/Restaurant_Review-g187147-d15037745-Reviews-46_3rd-Paris_Ile_de_France.html,4.5
63,1253,Mon Paris !,https://www.tripadvisor.com/Restaurant_Review-g187147-d8721656-Reviews-Mon_Paris-Paris_Ile_de_France.html,4.0
64,1259,La Rotonde,https://www.tripadvisor.com/Restaurant_Review-g187147-d718719-Reviews-La_Rotonde-Paris_Ile_de_France.html,4.0
65,1001,Restaurant La Gauloise,https://www.tripadvisor.com/Restaurant_Review-g187147-d718672-Reviews-Restaurant_La_Gauloise-Paris_Ile_de_France.html,4.0
66,717,Aux Anysetiers Du Roy Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d858456-Reviews-Aux_Anysetiers_Du_Roy_Restaurant-Paris_Ile_de_France.html,4.5
67,402,La Reserve Du Terroir,https://www.tripadvisor.com/Restaurant_Review-g187147-d21164164-Reviews-La_Reserve_Du_Terroir-Paris_Ile_de_France.html,4.5
68,2925,Sphere,https://www.tripadvisor.com/Restaurant_Review-g187147-d25130446-Reviews-Sphere-Paris_Ile_de_France.html,4.0
69,554,La Cantina,https://www.tripadvisor.com/Restaurant_Review-g187147-d4752790-Reviews-La_Cantina-Paris_Ile_de_France.html,4.5
70,195,Ostra Paris,https://www.tripadvisor.com/Restaurant_Review-g187147-d26405745-Reviews-Ostra_Paris-Paris_Ile_de_France.html,5.0
71,920,Restaurant Obrigado Paris,https://www.tripadvisor.com/Restaurant_Review-g187147-d7311521-Reviews-Restaurant_Obrigado_Paris-Paris_Ile_de_France.html,4.5
72,909,BigLove,https://www.tripadvisor.com/Restaurant_Review-g187147-d11844193-Reviews-BigLove-Paris_Ile_de_France.html,4.0
73,926,La Marine,https://www.tripadvisor.com/Restaurant_Review-g187147-d802452-Reviews-La_Marine-Paris_Ile_de_France.html,4.0
74,1881,Ambos,https://www.tripadvisor.com/Restaurant_Review-g187147-d25274586-Reviews-Ambos-Paris_Ile_de_France.html,4.5
75,454,L'Oiseau Blanc Restaurant,https://www.tripadvisor.com/Restaurant_Review-g187147-d6975406-Reviews-L_Oiseau_Blanc_Restaurant-Paris_Ile_de_France.html,4.5
